City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,ad darb,17.7229,42.2526,300.04,66,100,4.6,SA,1706288877
299,solnechnyy,50.7214,136.6319,248.72,91,50,1.77,RU,1706288877
300,walvis bay,-22.9575,14.5053,294.87,74,98,4.36,NA,1706288877
301,dalnegorsk,44.5604,135.5701,256.49,90,11,2.86,RU,1706288877
302,plouzane,48.3833,-4.6167,283.18,64,0,1.54,FR,1706288878
303,akureyri,65.6835,-18.0878,272.11,64,100,8.75,IS,1706288878
304,celestun,20.8667,-90.4,301.96,61,2,3.77,MX,1706288878
305,susuman,62.7833,148.1667,232.03,100,81,0.45,RU,1706288878
306,hami,42.8,93.45,262.77,69,11,2.03,CN,1706288878
307,al bawiti,28.3492,28.8659,286.68,57,0,4.29,EG,1706288878
308,midvagur,62.0511,-7.1939,278.61,81,100,10.29,FO,1706288878
309,muisne,0.6,-80.0333,301.46,78,99,2.86,EC,1706288879
310,rehoboth,-23.3167,17.0833,302.33,31,95,1.81,NA,1706288879
311,amga,60.8953,131.9608,251.41,98,100,1.6,RU,1706288879
312,sao vicente,-23.9631,-46.3919,299.41,26,59,0.45,BR,1706288879
313,pokhara,28.2333,83.9833,281.74,57,81,2.42,NP,1706288879
314,prince rupert,54.3161,-130.3201,280.2,87,100,6.17,CA,1706288879
315,klaksvik,62.2266,-6.589,278.66,84,98,18.08,FO,1706288880
316,yuzhno-kurilsk,44.0306,145.8556,271.14,85,100,9.6,RU,1706288880
317,mount pearl,47.5166,-52.7813,267.77,74,40,1.34,CA,1706288880
318,mananjary,-21.2167,48.3333,297.2,73,89,2.77,MG,1706288880
319,butia,-30.1197,-51.9622,298.9,56,89,5.52,BR,1706288880
320,el fasher,13.6279,25.3494,293.32,18,100,4.09,SD,1706288880
321,xai-xai,-25.0519,33.6442,297.46,75,7,5.45,MZ,1706288880
322,severo-yeniseyskiy,60.3725,93.0408,257.36,97,100,1.34,RU,1706288881
323,fort st. john,56.2499,-120.8529,275.31,74,61,6.41,CA,1706288881
324,aver-o-mar,41.4078,-8.7812,291.53,72,0,1.03,PT,1706288881
325,queenstown,-31.8976,26.8753,299.86,33,93,5.23,ZA,1706288881
326,cannonvale,-20.2833,148.7,300.81,88,77,3.5,AU,1706288881
327,holualoa,19.6228,-155.9522,293.58,79,40,3.6,US,1706288882
328,lihue,21.9789,-159.3672,294.73,85,100,2.06,US,1706288882
329,kerikeri,-35.2268,173.9474,285.32,90,97,1.85,NZ,1706288882
